Date,Open,High,Low,Close,Adj Close,Volume
2009-04-15,4.185714,4.223214,4.134286,4.201428,3.630619,412882400
2009-04-16,4.256786,4.398214,4.242500,4.337500,3.748204,593446000
2009-04-17,4.327857,4.437500,4.294643,4.407857,3.809003,497495600
2009-04-20,4.347500,4.392500,4.255714,4.303571,3.718884,466466000
2009-04-21,4.246071,4.362143,4.235714,4.348571,3.757772,470685600
2009-04-22,4.379643,4.476786,4.328571,4.339643,3.750056,938767200
2009-04-23,4.522143,4.542857,4.411071,4.478571,3.870109,945156800
2009-04-24,4.451428,4.469285,4.391786,4.425000,3.823814,540764000
2009-04-27,4.389286,4.464286,4.380714,4.454643,3.849432,480690000
2009-04-28,4.405357,4.507500,4.402143,4.425000,3.823814,455856800
2009-04-29,4.458929,4.530357,4.422500,4.469285,3.862085,458110800
2009-04-30,4.507857,4.535714,4.461429,4.493928,3.883379,498489600
2009-05-01,4.492857,4.569643,4.492857,4.544286,3.926895,397516000
2009-05-04,4.580000,4.723214,4.560000,4.716786,4.075960,609358400
2009-05-05,4.705357,4.745000,4.682857,4.739643,4.095710,398255200
2009-05-06,4.761786,4.767857,4.650714,4.732143,4.089231,473538800
2009-05-07,4.726071,4.728214,4.567857,4.609286,3.983065,531776000
2009-05-08,4.608572,4.686786,4.509286,4.613929,3.987077,467964000
2009-05-11,4.548929,4.677143,4.540000,4.627500,3.998804,404658800
2009-05-12,4.627143,4.632500,4.401786,4.443572,3.839864,609481600
2009-05-13,4.400357,4.429286,4.263571,4.267500,3.687715,595971600
2009-05-14,4.277857,4.411786,4.275000,4.391071,3.794497,447826400
2009-05-15,4.368571,4.450714,4.343215,4.372143,3.778140,367567200
2009-05-18,4.418929,4.525000,4.341786,4.523214,3.908687,458841600
2009-05-19,4.529286,4.618214,4.490714,4.551786,3.933377,372422400
2009-05-20,4.558214,4.614643,4.475000,4.495357,3.884614,388584000
2009-05-21,4.469643,4.527857,4.388928,4.435000,3.832458,407946000
2009-05-22,4.430357,4.435000,4.348214,4.375000,3.780608,297998400
2009-05-26,4.455714,4.672500,4.448214,4.670714,4.036147,636927200
2009-05-27,4.706429,4.820714,4.675357,4.751786,4.106205,646422000
2009-05-28,4.766071,4.835357,4.715357,4.823928,4.168544,487552800
2009-05-29,4.835357,4.853571,4.780357,4.850357,4.191382,456534400
2009-06-01,4.873929,4.999643,4.857143,4.976786,4.300635,452499600
2009-06-02,4.963929,5.047857,4.941072,4.981786,4.304956,456223600
2009-06-03,5.000000,5.039643,4.966786,5.033928,4.350016,565199600
2009-06-04,5.004643,5.149286,5.001429,5.133572,4.436120,550634000
2009-06-05,5.189643,5.228571,5.114643,5.166786,4.464824,632716000
2009-06-08,5.136428,5.151072,4.979643,5.137500,4.439515,931652400
2009-06-09,5.136071,5.162857,5.019643,5.097143,4.404641,676964400
2009-06-10,5.081429,5.083929,4.939286,5.008929,4.328411,688623600
2009-06-11,4.983929,5.055714,4.948214,4.998214,4.319153,524823600
2009-06-12,4.957500,4.967857,4.858572,4.891786,4.227185,563085600
2009-06-15,4.857500,4.890357,4.817500,4.860357,4.200026,539750400
2009-06-16,4.880714,4.945357,4.860714,4.869643,4.208049,514805200
2009-06-17,4.881072,4.908928,4.804643,4.842143,4.184285,571412800
2009-06-18,4.861072,4.928571,4.842500,4.852857,4.193544,427680400
2009-06-19,4.931071,4.982143,4.889286,4.981429,4.304648,721856800
2009-06-22,5.023929,5.055714,4.868928,4.906072,4.239528,634914000
2009-06-23,4.871428,4.891071,4.745714,4.786071,4.135832,706532400
2009-06-24,4.836429,4.910714,4.816429,4.865000,4.204039,485525600
2009-06-25,4.848214,5.007143,4.828928,4.995000,4.316376,589447600
2009-06-26,4.992500,5.127143,4.990714,5.087143,4.396000,439384400
2009-06-29,5.123571,5.141071,5.055000,5.070357,4.381495,567616000
2009-06-30,5.092143,5.135714,5.064286,5.086786,4.395690,434224000
2009-07-01,5.125000,5.166429,5.090000,5.101071,4.408037,414178800
2009-07-02,5.044643,5.101071,4.992500,5.000714,4.321311,370479200
2009-07-06,4.953571,4.963929,4.866071,4.950357,4.277796,498688400
2009-07-07,4.945714,4.988572,4.827857,4.835714,4.178730,461596800
2009-07-08,4.854286,4.930000,4.800714,4.900714,4.234900,575929200
2009-07-09,4.920000,4.928214,4.854643,4.870000,4.208357,343025200
2009-07-10,4.869286,4.963214,4.868571,4.947143,4.275021,445275600
2009-07-13,4.983572,5.083571,4.911786,5.083571,4.392912,483501200
2009-07-14,5.072500,5.113572,5.041429,5.081071,4.390754,347247600
2009-07-15,5.180000,5.250000,5.154286,5.245714,4.533026,485587200
2009-07-16,5.205714,5.286428,5.198928,5.268571,4.552778,393570800
2009-07-17,5.324286,5.429286,5.308214,5.419643,4.683326,602154000
2009-07-20,5.473928,5.537143,5.388928,5.461071,4.719127,735526400
2009-07-21,5.474643,5.479643,5.348214,5.411071,4.675919,874781600
2009-07-22,5.635357,5.668929,5.575357,5.597857,4.837328,874104000
2009-07-23,5.593928,5.658571,5.555714,5.636428,4.870659,526962800
2009-07-24,5.605357,5.714286,5.589286,5.713929,4.937631,438362400
2009-07-27,5.720357,5.745714,5.616428,5.717857,4.941023,433311200
2009-07-28,5.674286,5.717857,5.628572,5.714286,4.937938,363554800
2009-07-29,5.675000,5.730357,5.651786,5.715357,4.938863,382158000
2009-07-30,5.775000,5.882857,5.767857,5.813929,5.024044,469604800
